Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C4",0402,4,1uF,C52923
"C11, C12, C13, C14, C15, C16, C17, C3, C5, C6",0402,10,100nF,C1525
"C7, C8",0402,2,22pF,C1555
C9,0402,1,10uF,C15525
"D1, D2",D_SOD-123,2,Schottky Diode,C130880
D3,0805,1,GREEN,
F1,1206,1,500 mA,
J1,TYPE-C_24P_QCHT,1,USB C Connector,C456013
J2,CON_TC2030_outlined,1,JTAG_TC2030,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"MX1, MX11, MX13, MX16, MX18, MX20, MX22, MX24, MX25, MX27, MX3, MX30, MX31, MX34, MX35, MX37, MX40, MX6, MX7, MX9",SW_MX_HS_1u,20,MX_SW_HS,
"MX10, MX12, MX14, MX15, MX17, MX19, MX2, MX21, MX23, MX26, MX28, MX29, MX32, MX33, MX36, MX38, MX39, MX4, MX5, MX8",SW_MX_1u,20,MX_SW_solder,
R1,0603,1,1M,C25190
"R10, R11",0402,2,1k,C11702
"R2, R3",0402,2,5.1k,C25744
R4,0402,1,470,
R5,0603,1,5.6k,
R6,0603,1,10k,
R7,0402,1,10k,C25744
"R8, R9",0603,2,27,C25190
U1,SOT-23,1,XC6206,C5446
U2,SOT-23-6,1,USBLC6-2SC6,
U3,RP2040-QFN-56,1,RP2040,C2040
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
